domain,architecture,task,prompt,test_accuracy,acc_gpt,acc_human,f1
CS,BiLSTMwoAttention,1,1,99.9,99.9,99.9,0.999
CS,BiLSTMwoAttention,1,2,99.85,99.7,100.0,0.9985
CS,BiLSTMwoAttention,1,3,99.85,99.8,99.9,0.9985
CS,BiLSTMwoAttention,1,4,99.95,99.9,100.0,0.9995
CS,BiLSTMwoAttention,2,1,99.4,99.2,99.6,0.994
CS,BiLSTMwoAttention,2,2,99.1,98.5,99.7,0.9909
CS,BiLSTMwoAttention,2,3,99.3,98.9,99.7,0.993
CS,BiLSTMwoAttention,2,4,99.05,98.5,99.6,0.9904
CS,BiLSTMwoAttention,3,1,93.4,94.1,92.7,0.9345
CS,BiLSTMwoAttention,3,2,97.6,97.5,97.7,0.976
CS,BiLSTMwoAttention,3,3,96.7,96.6,96.8,0.967
CS,BiLSTMwoAttention,3,4,97.8,97.6,98.0,0.978
CS,CNN,1,1,62.5,74.8,50.2,0.6661
CS,CNN,1,2,99.9,99.9,99.9,0.999
CS,CNN,1,3,50.0,100.0,0.0,0.6667
CS,CNN,1,4,99.9,100.0,99.8,0.999
CS,CNN,2,1,98.35,97.3,99.4,0.9833
CS,CNN,2,2,98.0,97.8,98.2,0.98
CS,CNN,2,3,97.85,98.6,97.1,0.9787
CS,CNN,2,4,66.9,78.7,55.1,0.7039
CS,CNN,3,1,94.2,93.4,95.0,0.9415
CS,CNN,3,2,54.3,79.3,29.3,0.6344
CS,CNN,3,3,51.4,93.4,9.4,0.6577
CS,CNN,3,4,57.05,61.8,52.3,0.59
CS,CheckGPTArch,1,1,100.0,100.0,100.0,1.0
CS,CheckGPTArch,1,2,100.0,100.0,100.0,1.0
CS,CheckGPTArch,1,3,100.0,100.0,100.0,1.0
CS,CheckGPTArch,1,4,100.0,100.0,100.0,1.0
CS,CheckGPTArch,1,123,100.0,100.0,100.0,1.0
CS,CheckGPTArch,1,124,100.0,100.0,100.0,1.0
CS,CheckGPTArch,1,134,99.95,99.9,100.0,0.9995
CS,CheckGPTArch,1,234,99.95,99.9,100.0,0.9995
CS,CheckGPTArch,1,1234,100.0,100.0,100.0,1.0
CS,CheckGPTArch,2,1,99.55,99.4,99.7,0.9955
CS,CheckGPTArch,2,2,99.6,99.3,99.9,0.996
CS,CheckGPTArch,2,3,99.65,99.3,100.0,0.9965
CS,CheckGPTArch,2,4,99.45,99.2,99.7,0.9945
CS,CheckGPTArch,2,123,99.85,99.9,99.8,0.9985
CS,CheckGPTArch,2,124,99.8,99.6,100.0,0.998
CS,CheckGPTArch,2,134,99.85,99.9,99.8,0.9985
CS,CheckGPTArch,2,234,99.5,99.1,99.9,0.995
CS,CheckGPTArch,2,1234,99.8,99.95,99.2,0.9988
CS,CheckGPTArch,3,1,98.0,97.4,98.6,0.9799
CS,CheckGPTArch,3,2,98.25,98.1,98.4,0.9825
CS,CheckGPTArch,3,3,98.9,99.0,98.8,0.989
CS,CheckGPTArch,3,4,98.75,98.4,99.1,0.9875
CS,CheckGPTArch,3,123,97.95,99.0,96.9,0.9797
CS,CheckGPTArch,3,124,98.25,98.8,97.7,0.9826
CS,CheckGPTArch,3,134,98.0,99.1,96.9,0.9802
CS,CheckGPTArch,3,234,96.85,95.4,98.3,0.968
CS,CheckGPTArch,3,1234,99.54,99.775,98.6,0.9971
CS,MLP,1,1,99.9,99.9,99.9,0.999
CS,MLP,1,2,99.95,99.9,100.0,0.9995
CS,MLP,1,3,99.95,99.9,100.0,0.9995
CS,MLP,1,4,100.0,100.0,100.0,1.0
CS,MLP,2,1,99.25,98.8,99.7,0.9925
CS,MLP,2,2,99.1,98.8,99.4,0.991
CS,MLP,2,3,99.3,99.0,99.6,0.993
CS,MLP,2,4,99.2,99.0,99.4,0.992
CS,MLP,3,1,95.35,94.1,96.6,0.9529
CS,MLP,3,2,95.8,95.4,96.2,0.9578
CS,MLP,3,3,96.8,96.5,97.1,0.9679
CS,MLP,3,4,97.45,96.8,98.1,0.9743
CS,RCH,1,1,99.75,99.7,99.8,0.9975
CS,RCH,1,2,99.85,99.8,99.9,0.9985
CS,RCH,1,3,99.65,99.5,99.8,0.9965
CS,RCH,1,4,99.95,99.9,100.0,0.9995
CS,RCH,2,1,98.65,98.1,99.2,0.9864
CS,RCH,2,2,98.35,97.8,98.9,0.9834
CS,RCH,2,3,98.8,98.6,99.0,0.988
CS,RCH,2,4,98.45,98.1,98.8,0.9844
CS,RCH,3,1,93.4,91.1,95.7,0.9324
CS,RCH,3,2,94.65,95.8,93.5,0.9471
CS,RCH,3,3,94.15,94.7,93.6,0.9418
CS,RCH,3,4,96.45,96.0,96.9,0.9643
CSPHXHSS,CheckGPTArch,1,1234,100.0,100.0,100.0,1.0
CSPHXHSS,CheckGPTArch,2,1234,99.8333,99.875,99.6667,0.999
CSPHXHSS,CheckGPTArch,3,1234,99.5833,99.625,99.4167,0.9974
CSPHXHSS,CheckGPTArch,123,1234,99.8214,99.8542,99.625,0.999
HSS,BiLSTMwoAttention,1,1,99.75,99.7,99.8,0.9975
HSS,BiLSTMwoAttention,1,2,99.65,99.7,99.6,0.9965
HSS,BiLSTMwoAttention,1,3,99.8,100.0,99.6,0.998
HSS,BiLSTMwoAttention,1,4,99.95,99.9,100.0,0.9995
HSS,BiLSTMwoAttention,2,1,98.65,98.5,98.8,0.9865
HSS,BiLSTMwoAttention,2,2,99.05,98.6,99.5,0.9905
HSS,BiLSTMwoAttention,2,3,98.85,98.9,98.8,0.9885
HSS,BiLSTMwoAttention,2,4,98.9,98.6,99.2,0.989
HSS,BiLSTMwoAttention,3,1,96.7,96.5,96.9,0.9669
HSS,BiLSTMwoAttention,3,2,97.7,98.1,97.3,0.9771
HSS,BiLSTMwoAttention,3,3,97.35,98.0,96.7,0.9737
HSS,BiLSTMwoAttention,3,4,96.7,96.1,97.3,0.9668
HSS,CNN,1,1,99.55,99.7,99.4,0.9955
HSS,CNN,1,2,59.15,78.0,40.3,0.6563
HSS,CNN,1,3,99.7,100.0,99.4,0.997
HSS,CNN,1,4,99.9,99.9,99.9,0.999
HSS,CNN,2,1,96.85,97.0,96.7,0.9685
HSS,CNN,2,2,97.15,96.9,97.4,0.9714
HSS,CNN,2,3,98.2,98.0,98.4,0.982
HSS,CNN,2,4,64.45,77.0,51.9,0.6841
HSS,CNN,3,1,94.05,94.9,93.2,0.941
HSS,CNN,3,2,50.0,100.0,0.0,0.6667
HSS,CNN,3,3,54.1,79.3,28.9,0.6334
HSS,CNN,3,4,52.65,72.8,32.5,0.6059
HSS,CheckGPTArch,1,1,99.85,99.8,99.9,0.9985
HSS,CheckGPTArch,1,2,99.9,100.0,99.8,0.999
HSS,CheckGPTArch,1,3,99.9,100.0,99.8,0.999
HSS,CheckGPTArch,1,4,100.0,100.0,100.0,1.0
HSS,CheckGPTArch,1,123,99.95,100.0,99.9,0.9995
HSS,CheckGPTArch,1,124,99.9,100.0,99.8,0.999
HSS,CheckGPTArch,1,134,99.8,99.7,99.9,0.998
HSS,CheckGPTArch,1,234,99.85,99.7,100.0,0.9985
HSS,CheckGPTArch,1,1234,99.96,100.0,99.8,0.9998
HSS,CheckGPTArch,2,1,98.9,98.9,98.9,0.989
HSS,CheckGPTArch,2,2,99.25,99.4,99.1,0.9925
HSS,CheckGPTArch,2,3,99.25,99.2,99.3,0.9925
HSS,CheckGPTArch,2,4,99.4,99.6,99.2,0.994
HSS,CheckGPTArch,2,123,99.3,99.7,98.9,0.993
HSS,CheckGPTArch,2,124,99.4,99.7,99.1,0.994
HSS,CheckGPTArch,2,134,99.2,99.4,99.0,0.992
HSS,CheckGPTArch,2,234,99.05,99.2,98.9,0.9905
HSS,CheckGPTArch,2,1234,99.88,99.925,99.7,0.9992
HSS,CheckGPTArch,3,1,97.65,98.6,96.7,0.9767
HSS,CheckGPTArch,3,2,98.15,98.0,98.3,0.9815
HSS,CheckGPTArch,3,3,98.35,98.2,98.5,0.9835
HSS,CheckGPTArch,3,4,98.45,98.8,98.1,0.9846
HSS,CheckGPTArch,3,123,97.85,99.2,96.5,0.9788
HSS,CheckGPTArch,3,124,97.7,99.8,95.6,0.9775
HSS,CheckGPTArch,3,134,97.9,99.2,96.6,0.9793
HSS,CheckGPTArch,3,234,96.65,95.9,97.4,0.9662
HSS,CheckGPTArch,3,1234,99.7,99.95,98.7,0.9981
HSS,MLP,1,1,99.8,99.9,99.7,0.998
HSS,MLP,1,2,99.7,99.6,99.8,0.997
HSS,MLP,1,3,99.85,100.0,99.7,0.9985
HSS,MLP,1,4,100.0,100.0,100.0,1.0
HSS,MLP,2,1,98.6,98.5,98.7,0.986
HSS,MLP,2,2,98.95,98.5,99.4,0.9895
HSS,MLP,2,3,98.9,98.8,99.0,0.989
HSS,MLP,2,4,98.95,98.8,99.1,0.9895
HSS,MLP,3,1,96.05,97.6,94.5,0.9611
HSS,MLP,3,2,97.15,96.8,97.5,0.9714
HSS,MLP,3,3,97.05,97.1,97.0,0.9705
HSS,MLP,3,4,97.5,97.4,97.6,0.975
HSS,RCH,1,1,99.75,99.8,99.7,0.9975
HSS,RCH,1,2,99.75,99.6,99.9,0.9975
HSS,RCH,1,3,99.9,100.0,99.8,0.999
HSS,RCH,1,4,99.95,99.9,100.0,0.9995
HSS,RCH,2,1,97.6,96.6,98.6,0.9758
HSS,RCH,2,2,98.15,97.9,98.4,0.9815
HSS,RCH,2,3,98.25,97.9,98.6,0.9824
HSS,RCH,2,4,97.75,98.2,97.3,0.9776
HSS,RCH,3,1,95.35,97.0,93.7,0.9543
HSS,RCH,3,2,96.05,96.3,95.8,0.9606
HSS,RCH,3,3,95.95,96.7,95.2,0.9598
HSS,RCH,3,4,96.8,96.4,97.2,0.9679
PHX,BiLSTMwoAttention,1,1,99.9,99.8,100.0,0.999
PHX,BiLSTMwoAttention,1,2,99.95,99.9,100.0,0.9995
PHX,BiLSTMwoAttention,1,3,99.9,99.8,100.0,0.999
PHX,BiLSTMwoAttention,1,4,99.9,99.8,100.0,0.999
PHX,BiLSTMwoAttention,2,1,98.55,97.8,99.3,0.9854
PHX,BiLSTMwoAttention,2,2,98.65,98.5,98.8,0.9865
PHX,BiLSTMwoAttention,2,3,99.2,99.0,99.4,0.992
PHX,BiLSTMwoAttention,2,4,99.4,99.1,99.7,0.994
PHX,BiLSTMwoAttention,3,1,96.95,96.3,97.6,0.9693
PHX,BiLSTMwoAttention,3,2,98.25,97.7,98.8,0.9824
PHX,BiLSTMwoAttention,3,3,98.0,96.6,99.4,0.9797
PHX,BiLSTMwoAttention,3,4,98.6,97.9,99.3,0.9859
PHX,CNN,1,1,99.7,99.7,99.7,0.997
PHX,CNN,1,2,99.8,99.9,99.7,0.998
PHX,CNN,1,3,99.75,99.8,99.7,0.9975
PHX,CNN,1,4,50.0,100.0,0.0,0.6667
PHX,CNN,2,1,97.0,96.2,97.8,0.9698
PHX,CNN,2,2,61.8,34.9,88.7,0.4774
PHX,CNN,2,3,98.5,98.5,98.5,0.985
PHX,CNN,2,4,65.2,89.3,41.1,0.7196
PHX,CNN,3,1,92.8,91.2,94.4,0.9268
PHX,CNN,3,2,95.65,94.0,97.3,0.9558
PHX,CNN,3,3,50.0,100.0,0.0,0.6667
PHX,CNN,3,4,50.0,100.0,0.0,0.6667
PHX,CheckGPTArch,1,1,99.9,99.8,100.0,0.999
PHX,CheckGPTArch,1,2,100.0,100.0,100.0,1.0
PHX,CheckGPTArch,1,3,100.0,100.0,100.0,1.0
PHX,CheckGPTArch,1,4,100.0,100.0,100.0,1.0
PHX,CheckGPTArch,1,123,100.0,100.0,100.0,1.0
PHX,CheckGPTArch,1,124,100.0,100.0,100.0,1.0
PHX,CheckGPTArch,1,134,99.9,99.8,100.0,0.999
PHX,CheckGPTArch,1,234,99.95,99.9,100.0,0.9995
PHX,CheckGPTArch,1,1234,99.98,99.975,100.0,0.9999
PHX,CheckGPTArch,2,1,98.85,98.5,99.2,0.9885
PHX,CheckGPTArch,2,2,98.95,98.7,99.2,0.9895
PHX,CheckGPTArch,2,3,99.35,99.4,99.3,0.9935
PHX,CheckGPTArch,2,4,99.7,99.7,99.7,0.997
PHX,CheckGPTArch,2,123,99.35,99.9,98.8,0.9935
PHX,CheckGPTArch,2,124,99.2,99.6,98.8,0.992
PHX,CheckGPTArch,2,134,99.05,99.4,98.7,0.9905
PHX,CheckGPTArch,2,234,98.8,98.5,99.1,0.988
PHX,CheckGPTArch,2,1234,99.94,99.975,99.8,0.9996
PHX,CheckGPTArch,3,1,98.1,98.7,97.5,0.9811
PHX,CheckGPTArch,3,2,98.55,98.4,98.7,0.9855
PHX,CheckGPTArch,3,3,98.35,98.5,98.2,0.9835
PHX,CheckGPTArch,3,4,99.0,99.1,98.9,0.99
PHX,CheckGPTArch,3,123,98.35,99.8,96.9,0.9837
PHX,CheckGPTArch,3,124,97.85,98.9,96.8,0.9787
PHX,CheckGPTArch,3,134,98.2,99.9,96.5,0.9823
PHX,CheckGPTArch,3,234,97.55,96.8,98.3,0.9753
PHX,CheckGPTArch,3,1234,99.98,100.0,99.9,0.9999
PHX,MLP,1,1,99.9,99.8,100.0,0.999
PHX,MLP,1,2,99.85,99.9,99.8,0.9985
PHX,MLP,1,3,99.95,99.9,100.0,0.9995
PHX,MLP,1,4,99.85,99.8,99.9,0.9985
PHX,MLP,2,1,98.4,97.8,99.0,0.9839
PHX,MLP,2,2,98.5,98.1,98.9,0.9849
PHX,MLP,2,3,99.3,99.0,99.6,0.993
PHX,MLP,2,4,99.3,99.4,99.2,0.993
PHX,MLP,3,1,96.5,97.2,95.8,0.9652
PHX,MLP,3,2,97.3,96.7,97.9,0.9728
PHX,MLP,3,3,97.25,96.7,97.8,0.9723
PHX,MLP,3,4,98.15,97.7,98.6,0.9814
PHX,RCH,1,1,99.7,99.5,99.9,0.997
PHX,RCH,1,2,99.85,99.9,99.8,0.9985
PHX,RCH,1,3,99.9,99.9,99.9,0.999
PHX,RCH,1,4,99.9,99.8,100.0,0.999
PHX,RCH,2,1,97.3,96.4,98.2,0.9728
PHX,RCH,2,2,97.95,97.1,98.8,0.9793
PHX,RCH,2,3,98.5,98.3,98.7,0.985
PHX,RCH,2,4,98.8,98.3,99.3,0.9879
PHX,RCH,3,1,95.3,97.4,93.2,0.954
PHX,RCH,3,2,94.8,95.4,94.2,0.9483
PHX,RCH,3,3,95.2,96.4,94.0,0.9526
PHX,RCH,3,4,96.5,96.8,96.2,0.9651
